date,tick,estimates,ms,cards,error
2026-07-28,06:00,masked,84,3,
2026-07-29,23:00,live,32,0,
2026-07-29,22:45,live,24,0,
2026-07-29,22:30,live,45,0,
2026-07-29,22:15,live,24,0,
2026-07-29,22:00,live,25,0,
2026-07-29,21:45,live,24,0,
2026-07-29,21:30,live,24,0,
2026-07-29,21:15,live,24,0,
2026-07-29,21:00,live,24,0,
2026-07-29,20:45,live,47,0,
2026-07-29,20:30,live,24,1,
2026-07-29,20:15,live,24,1,
2026-07-29,20:00,live,26,1,
2026-07-29,19:45,live,25,1,
2026-07-29,19:30,live,25,1,
2026-07-29,19:15,live,25,1,
2026-07-29,19:00,live,24,1,
2026-07-29,18:45,live,50,1,
2026-07-29,18:30,live,24,0,
2026-07-29,18:15,live,24,0,
2026-07-29,18:00,live,25,1,
2026-07-29,17:45,live,24,0,
2026-07-29,17:30,live,25,0,
2026-07-29,17:15,live,24,0,
2026-07-29,17:00,live,48,0,
2026-07-29,16:45,live,24,0,
2026-07-29,16:30,live,25,0,
2026-07-29,16:15,live,25,0,
2026-07-29,16:00,live,25,0,
2026-07-29,15:45,live,25,0,
2026-07-29,15:30,live,25,0,
2026-07-29,15:15,live,25,0,
2026-07-29,15:00,live,48,0,
2026-07-29,14:45,live,25,0,
2026-07-29,14:30,live,25,1,
2026-07-29,14:15,live,25,0,
2026-07-29,14:00,live,25,0,
2026-07-29,13:45,live,25,0,
2026-07-29,13:30,live,26,0,
2026-07-29,13:15,live,26,0,
2026-07-29,13:00,live,49,0,
2026-07-29,12:45,live,25,0,
2026-07-29,12:30,live,26,1,
2026-07-29,12:15,live,26,1,
2026-07-29,12:00,live,26,1,
2026-07-29,11:45,live,26,2,
2026-07-29,11:30,live,26,2,
2026-07-29,11:15,live,26,1,
2026-07-29,11:00,live,50,0,
2026-07-29,10:45,live,26,0,
2026-07-29,10:30,live,26,0,
2026-07-29,10:15,live,27,0,
2026-07-29,10:00,live,27,0,
2026-07-29,09:45,live,27,0,
2026-07-29,09:30,live,27,0,
2026-07-29,09:15,live,32,2,
2026-07-29,09:00,live,54,2,
2026-07-29,08:45,live,31,2,
2026-07-29,08:30,live,31,2,
2026-07-29,08:15,live,31,1,
2026-07-29,08:00,live,31,1,
2026-07-29,07:45,live,26,0,
