trip_type,pickup_cat,dropoff_cat,tod,day_type,sample_count,p75_total,p90_total,last_calculated
cruise,Port Canaveral Area,Universal Resort,morning_rush,holiday,1,,,2026-02-10 22:31:26
arrival,Airport Hotel,Residential,evening,weekday,1,,,2026-02-13 17:50:14
arrival,Other,Other Hotel,afternoon,weekend,1,,,2026-02-16 06:09:27
arrival,MCO Terminal,Residential,afternoon,weekend,1,,,2026-07-31 20:25:26
arrival,MCO Terminal,Residential,night,weekend,1,,,2026-02-16 00:34:30
cruise,Other Hotel,Port Canaveral Area,midday,weekday,1,,,2026-07-31 20:25:26
arrival,Airport Hotel,Disney Resort,midday,weekday,1,,,2026-02-13 17:50:09
arrival,Other,Disney Resort,midday,weekday,1,,,2026-02-13 17:50:09
return,Disney Resort,Other,evening,weekday,1,,,2026-02-13 17:50:10
arrival,MCO Terminal,Residential,morning_rush,weekday,1,,,2026-07-31 20:25:28
return,Residential,MCO Terminal,afternoon,weekday,1,,,2026-07-31 20:25:27
return,Other Hotel,MCO Terminal,afternoon,weekday,1,,,2026-07-31 20:25:24
cruise,Universal Resort,Port Canaveral Area,afternoon,weekday,1,,,2026-07-31 20:25:26
return,Disney Resort,Other,morning_rush,weekend,1,,,2026-05-23 18:33:37
return,Residential,MCO Terminal,afternoon,weekend,1,,,2026-07-31 20:25:25
other,MCO Terminal,MCO Terminal,midday,holiday,1,,,2026-02-10 22:31:26
return,Disney Resort,MCO Terminal,evening,holiday,1,,,2026-02-10 22:31:26
arrival,MCO Terminal,Disney Resort,evening,holiday,1,,,2026-02-10 22:31:26
other,Disney Resort,Other,midday,weekday,1,,,2026-07-31 20:25:27
other,Other Hotel,MCO Terminal,early_morning,weekday,1,,,2026-02-13 17:50:12
cruise,Port Canaveral Area,Disney Resort,midday,weekday,1,,,2026-07-31 20:25:27
other,Other Hotel,Disney Resort,morning_rush,weekend,1,,,2026-07-31 20:25:27
arrival,MCO Terminal,Other Hotel,evening,weekend,1,,,2026-07-31 20:25:27
other,Other Hotel,Disney Resort,early_morning,weekend,1,,,2026-05-23 18:33:37
other,Disney Resort,Residential,morning_rush,weekend,1,,,2026-07-31 20:25:27
arrival,Other Hotel,Disney Resort,morning_rush,weekend,1,,,2026-02-13 17:50:13
arrival,Airport Hotel,Disney Resort,morning_rush,weekend,1,,,2026-02-13 17:50:13
other,Universal Resort,Disney Resort,midday,weekend,1,,,2026-07-31 20:25:26
return,Disney Resort,Airport Hotel,evening,weekend,1,,,2026-02-13 17:50:14
return,Residential,MCO Terminal,midday,weekday,1,,,2026-07-31 20:25:27
return,Disney Resort,Other,afternoon,weekday,1,,,2026-02-16 06:09:28
